ESV-ICD 11 Complete Edition
1A00- - - Cholera
1A02- - - Intestinal infections due to Shigella
1A03- - - Intestinal infections due to Escherichia coli
1A07- - - Typhoid fever
1A08- - - Paratyphoid fever
1A09- - - Infections due to other Salmonella
1A0Y- - - Other specified bacterial intestinal infections
"1A0Z- - - Bacterial intestinal infections, unspecified"
1A11- - - Botulism
"1A1Z- - - Bacterial foodborne intoxications, unspecified"
"1A2Z- - - Viral intestinal infections, unspecified"
1A31- - - Giardiasis
1A32- - - Cryptosporidiosis
1A33- - - Cystoisosporiasis
1A36- - - Amoebiasis
1A36.10- - - - - Amoebic liver abscess
1A36.1Y- - - - - Amoebiasis of other specified sites
1A3Y- - - Other specified protozoal intestinal infections
1A40- - Gastroenteritis or colitis without specification of infectious agent
1A40.0- - - Gastroenteritis or colitis without specification of origin
1A40.Z- - - Infectious gastroenteritis or colitis without specification of infectious agent
1A60- - - Congenital syphilis
1A61- - - Early syphilis
1A62- - - Late syphilis
1A62.0- - - - Neurosyphilis
1A62.1- - - - Cardiovascular late syphilis
"1A6Z- - - Syphilis, unspecified"
1A70- - - Gonococcal genitourinary infection
1A72- - - Gonococcal infection of other sites
1A73- - - Disseminated gonococcal infection
"1A7Z- - - Gonococcal infection, unspecified"
1A80- - - Chlamydial lymphogranuloma
"1A8Z- - - Sexually transmissible infections due to chlamydia, unspecified"
1A90- - Chancroid
1A91- - Granuloma inguinale
1A92- - Trichomoniasis
1A93- - Sexually transmissible infestations
1A94- - Anogenital herpes simplex infection
1A95.0- - - Anal warts
1A95.1- - - Genital warts
"1A9Z- - Predominantly sexually transmitted infections, unspecified"
"1B10.0- - - - Respiratory tuberculosis, confirmed"
"1B10.1- - - - Respiratory tuberculosis, not confirmed"
1B11.0- - - - Tuberculous meningitis
1B11.3- - - - Tuberculous granuloma of brain
"1B11.Z- - - - Tuberculosis of the nervous system, unspecified"
1B12.4- - - - Tuberculosis of the musculoskeletal system
1B12.5- - - - Tuberculosis of the genitourinary system
1B12.6- - - - Tuberculous peripheral lymphadenopathy
1B12.7- - - - Tuberculosis of the digestive system
1B12.Y- - - - Tuberculosis of other specified organ or site
1B13- - - Miliary tuberculosis
1B14- - - Latent tuberculosis
"1B1Z- - - Tuberculosis, unspecified"
1B20.0- - - Paucibacillary leprosy
1B20.1- - - Multibacillary leprosy
1B20.2- - - Leprosy reactions
1B20.20- - - - Type I leprosy reaction
1B20.21- - - - Type II leprosy reaction
"1B20.Z- - - Leprosy, unspecified"
"1B2Z- - Mycobacterial diseases, unspecified"
1B40- - - Acute rheumatic fever without mention of heart involvement
1B41- - - Acute rheumatic fever with heart involvement
1B42- - - Rheumatic chorea
1B50- - Scarlet fever
1B51- - Streptococcal pharyngitis
1B52- - Toxic shock syndrome
1B53- - Meningitis due to Streptococcus
1B70.0- - - Erysipelas
1B70.Z- - - Bacterial cellulitis or lymphangitis due to unspecified bacterium
1B71- - Necrotising fasciitis
"1B72.Z- - - Impetigo, unspecified"
"1B73.Z- - - Ecthyma, unspecified"
1B74- - Superficial bacterial folliculitis
1B75- - Deep bacterial folliculitis or pyogenic abscess of the skin
1B75.0- - - Furuncle
1B75.1- - - Carbuncle
1B75.3- - - Pyogenic abscess of the skin
1B7Y- - Other specified pyogenic bacterial infection of skin and subcutaneous tissue
1B91- - Leptospirosis
"1B93.Z- - - Plague, unspecified"
1B95- - Brucellosis
1B97- - Anthrax
1B98- - Cat-scratch disease
"1C10.Z- - - Actinomycosis, unspecified"
1C12- - Whooping cough
1C13- - Tetanus
1C14- - Obstetrical tetanus
1C15- - Tetanus neonatorum
1C16- - Gas gangrene
1C17- - Diphtheria
1C19- - Legionellosis
1C1A- - Listeriosis
1C1C.0- - - Meningococcal meningitis
1C1C.2- - - Meningococcaemia
1C1J- - Relapsing fever
1C20- - - Chlamydial conjunctivitis
